date,value,inventory,price,data_type
2014-03-17,48.0,4228.0,1.29,Historical
2014-03-18,29.0,4199.0,1.29,Historical
2014-03-19,91.0,4107.0,1.29,Historical
2014-03-20,59.0,4048.0,1.29,Historical
2014-03-21,68.0,3980.0,1.29,Historical
2014-03-22,137.0,3843.0,1.28,Historical
2014-03-23,56.0,3787.0,1.29,Historical
2014-03-24,13.0,3774.0,1.29,Historical
2014-03-25,45.0,3729.0,1.29,Historical
2014-03-26,25.0,3704.0,1.29,Historical
2014-03-27,25.0,3679.0,1.29,Historical
2014-03-28,174.0,3505.0,1.19,Historical
2014-03-29,138.0,3367.0,1.09,Historical
2014-03-30,64.0,3303.0,1.09,Historical
2014-03-31,77.0,3226.0,1.09,Historical
2014-04-01,62.0,3164.0,1.09,Historical
2014-04-02,119.0,3045.0,1.09,Historical
2014-04-03,89.0,2956.0,1.09,Historical
2014-04-04,133.0,2823.0,1.09,Historical
2014-04-05,180.0,2643.0,1.09,Historical
2014-04-06,121.0,2522.0,1.09,Historical
2014-04-07,72.0,2450.0,1.09,Historical
2014-04-08,91.0,2359.0,1.09,Historical
2014-04-09,53.0,2306.0,1.09,Historical
2014-04-10,47.0,2259.0,1.09,Historical
2014-04-11,42.0,2217.0,1.09,Historical
2014-04-12,124.0,2092.0,1.09,Historical
2014-04-13,97.0,1995.0,1.09,Historical
2014-04-14,119.0,1875.0,1.09,Historical
2014-04-15,34.0,1841.0,1.29,Historical
2014-04-16,18.0,1823.0,1.29,Historical
2014-04-17,24.0,1799.0,1.29,Historical
2014-04-18,57.0,1742.0,1.29,Historical
2014-04-19,61.0,1681.0,1.29,Historical
2014-04-20,30.0,1651.0,1.29,Historical
2014-04-21,96.0,1554.0,1.29,Historical
2014-04-22,0.0,1525.0,1.29,Historical
2014-04-23,37.0,1488.0,1.29,Historical
2014-04-24,30.0,1458.0,1.29,Historical
2014-04-25,38.0,1420.0,1.29,Historical
2014-04-26,88.0,1332.0,1.29,Historical
2014-04-27,64.0,1268.0,1.29,Historical
2014-04-28,13.0,1255.0,1.29,Historical
2014-04-29,20.0,1255.0,1.29,Historical
2014-04-30,31.0,1457.0,1.29,Historical
2014-05-01,129.0,1263.0,1.29,Historical
2014-05-02,94.0,1169.0,1.29,Historical
2014-05-03,129.0,1904.0,1.29,Historical
2014-05-04,126.0,1778.0,1.29,Historical
2014-05-05,70.0,1708.0,1.29,Historical
2014-05-06,48.0,1708.0,1.29,Historical
2014-05-07,123.0,2044.0,1.29,Historical
2014-05-08,87.0,1930.0,1.29,Historical
2014-05-09,65.0,1961.0,1.29,Historical
2014-05-10,102.0,1859.0,1.29,Historical
2014-05-11,78.0,1781.0,1.29,Historical
2014-05-12,49.0,1828.0,1.29,Historical
2014-05-13,0.0,1800.0,1.29,Historical
2014-05-14,68.0,1687.0,1.09,Historical
2014-05-15,102.0,1969.0,1.09,Historical
2014-05-16,88.0,1977.0,1.09,Historical
2014-05-17,170.0,1807.0,1.09,Historical
2014-05-18,152.0,1655.0,1.09,Historical
2014-05-19,90.0,1661.0,1.09,Historical
2014-05-20,101.0,1751.0,1.09,Historical
2014-05-21,71.0,1680.0,1.43,Historical
2014-05-22,48.0,2016.0,1.49,Historical
2014-05-23,40.0,1976.0,1.49,Historical
2014-05-24,93.0,1883.0,1.49,Historical
2014-05-25,45.0,1838.0,1.49,Historical
2014-05-26,58.0,1876.0,1.49,Historical
2014-05-27,53.0,1919.0,1.49,Historical
2014-05-28,42.0,3317.0,1.49,Historical
2014-05-29,52.0,3841.0,1.49,Historical
2014-05-30,29.0,3811.0,1.99,Historical
2014-05-31,91.0,3720.0,1.99,Historical
2014-06-01,75.0,3645.0,1.99,Historical
2014-06-02,75.0,3570.0,1.99,Historical
2014-06-03,179.0,3391.0,1.19,Historical
2014-06-04,252.0,3140.0,1.19,Historical
2014-06-05,202.0,2938.0,1.19,Historical
2014-06-06,161.0,2777.0,1.19,Historical
2014-06-07,331.0,2446.0,1.19,Historical
2014-06-08,271.0,2175.0,1.19,Historical
2014-06-09,146.0,1949.0,1.19,Historical
2014-06-10,2.0,1946.0,1.19,Historical
2014-06-11,2.0,2136.0,1.19,Historical
2014-06-12,0.0,2136.0,0.0,Historical
2014-06-13,0.0,2328.0,1.49,Historical
2014-06-14,0.0,2328.0,1.49,Historical
2014-06-15,13.0,2315.0,1.49,Historical
2014-06-16,30.0,2285.0,1.49,Historical
2014-06-17,34.0,2251.0,1.49,Historical
2014-06-18,8.0,2243.0,1.49,Historical
2014-06-19,67.0,2176.0,1.29,Historical
2014-06-20,41.0,2135.0,1.29,Historical
2014-06-21,89.0,2046.0,1.29,Historical
2014-06-22,49.0,1997.0,1.29,Historical
2014-06-23,62.0,2031.0,1.29,Historical
2014-06-24,81.0,2046.0,1.29,Historical
2014-06-25,42.0,2004.0,1.29,Historical
2014-06-26,63.0,2037.0,1.29,Historical
2014-06-27,107.0,1930.0,1.18,Historical
2014-06-28,83.0,1847.0,1.19,Historical
2014-06-29,102.0,1745.0,1.19,Historical
2014-06-30,62.0,1779.0,1.29,Historical
2014-07-01,29.0,1750.0,1.29,Historical
2014-07-02,63.0,1687.0,1.29,Historical
2014-07-03,97.0,1590.0,1.29,Historical
2014-07-04,136.0,1454.0,1.29,Historical
2014-07-05,335.0,1119.0,1.29,Historical
2014-07-06,299.0,820.0,1.29,Historical
2014-07-07,5.0,814.0,1.29,Historical
2014-07-08,2.0,812.0,1.29,Historical
2014-07-09,9.0,803.0,1.29,Historical
2014-07-10,9.0,794.0,1.29,Historical
2014-07-11,0.0,794.0,1.29,Historical
2014-07-12,0.0,794.0,1.29,Historical
2014-07-13,0.0,794.0,1.29,Historical
2014-07-14,0.0,794.0,1.29,Historical
2014-07-15,0.0,794.0,0.0,Historical
2014-07-16,0.0,794.0,0.0,Historical
2014-07-17,0.0,794.0,0.0,Historical
2014-07-18,0.0,794.0,0.0,Historical
2014-07-19,0.0,794.0,1.49,Historical
2014-07-20,0.0,794.0,1.49,Historical
2014-07-21,0.0,794.0,1.49,Historical
2014-07-22,2.0,792.0,1.49,Historical
2014-07-23,0.0,792.0,1.49,Historical
2014-07-24,0.0,888.0,1.49,Historical
2014-07-25,15.0,873.0,1.49,Historical
2014-07-26,9.0,864.0,1.49,Historical
2014-07-27,13.0,851.0,1.49,Historical
2014-07-28,15.0,1220.0,1.22,Historical
2014-07-29,26.0,1207.0,2.98,Historical
2014-07-30,16.0,1191.0,1.55,Historical
2014-07-31,51.0,1140.0,1.55,Historical
2014-08-01,47.0,1093.0,1.55,Historical
2014-08-02,56.0,1037.0,1.55,Historical
2014-08-03,45.0,992.0,1.55,Historical
2014-08-04,40.0,952.0,1.55,Historical
2014-08-05,17.0,935.0,1.55,Historical
2014-08-06,103.0,832.0,1.29,Historical
2014-08-07,72.0,760.0,1.29,Historical
2014-08-08,56.0,704.0,1.29,Historical
2014-08-09,0.0,704.0,1.29,Historical
2014-08-10,1.0,703.0,1.29,Historical
2014-08-11,0.0,703.0,1.29,Historical
2014-08-12,0.0,703.0,1.29,Historical
2014-08-13,0.0,703.0,1.29,Historical
2014-08-14,0.0,703.0,1.29,Historical
2014-08-15,0.0,703.0,1.55,Historical
2014-08-16,0.0,703.0,1.55,Historical
2014-08-17,0.0,703.0,1.55,Historical
2014-08-18,0.0,2143.0,1.55,Historical
2014-08-19,0.0,2143.0,1.55,Historical
2014-08-20,68.0,2075.0,1.55,Historical
2014-08-21,169.0,1908.0,1.19,Historical
2014-08-22,213.0,1695.0,1.19,Historical
2014-08-23,338.0,1356.0,1.19,Historical
2014-08-24,129.0,1227.0,1.19,Historical
2014-08-25,129.0,1227.0,1.19,Historical
2014-08-26,13.0,1271.0,1.19,Historical
2014-08-27,85.0,1186.0,1.19,Historical
2014-08-28,0.0,1186.0,0.0,Historical
2014-08-29,0.0,1186.0,1.29,Historical
2014-08-30,0.0,1186.0,1.29,Historical
2014-08-31,0.0,1186.0,1.29,Historical
2014-09-01,0.0,1474.0,1.29,Historical
2014-09-02,0.0,1474.0,1.29,Historical
2014-09-03,0.0,1474.0,1.29,Historical
2014-09-04,0.0,1474.0,1.29,Historical
2014-09-05,0.0,2146.0,1.29,Historical
2014-09-06,0.0,2146.0,1.29,Historical
2014-09-07,0.0,2146.0,1.29,Historical
2014-09-08,64.0,2082.0,1.29,Historical
2014-09-09,154.0,1928.0,1.29,Historical
2014-09-10,143.0,1785.0,1.29,Historical
2014-09-11,96.0,1689.0,1.29,Historical
2014-09-12,140.0,1549.0,1.29,Historical
2014-09-13,67.0,1484.0,1.29,Historical
2014-09-14,3.0,1481.0,1.29,Historical
2014-09-15,71.0,1410.0,1.29,Historical
2014-09-16,58.0,1352.0,1.29,Historical
2014-09-17,62.0,1962.0,1.29,Historical
2014-09-18,62.0,1996.0,1.29,Historical
2014-09-19,62.0,2126.0,1.29,Historical
2014-09-20,168.0,2532.0,1.29,Historical
2014-09-21,99.0,2433.0,1.29,Historical
2014-09-22,39.0,2394.0,1.29,Historical
2014-09-23,64.0,2285.0,1.29,Historical
2014-09-24,117.0,2168.0,1.29,Historical
2014-09-25,104.0,2064.0,1.29,Historical
2014-09-26,108.0,1956.0,1.29,Historical
2014-09-27,234.0,1014.0,1.29,Historical
2014-09-28,97.0,917.0,1.29,Historical
2014-09-29,85.0,832.0,1.29,Historical
2014-09-30,88.0,1896.0,1.29,Historical
2014-10-01,190.0,1801.0,1.29,Historical
2014-10-02,163.0,1637.0,1.29,Historical
2014-10-03,90.0,1835.0,1.29,Historical
2014-10-04,105.0,1730.0,1.29,Historical
2014-10-05,47.0,1683.0,1.29,Historical
2014-10-06,66.0,2097.0,1.29,Historical
2014-10-07,84.0,2109.0,1.29,Historical
2014-10-08,80.0,2028.0,1.29,Historical
2014-10-09,97.0,1934.0,1.29,Historical
2014-10-10,64.0,2254.0,1.29,Historical
2014-10-11,128.0,2126.0,1.29,Historical
2014-10-12,85.0,2041.0,1.29,Historical
2014-10-13,50.0,2087.0,1.29,Historical
2014-10-14,91.0,1996.0,1.29,Historical
2014-10-15,93.0,1903.0,1.29,Historical
2014-10-16,50.0,1852.0,1.29,Historical
2014-10-17,85.0,2246.0,1.29,Historical
2014-10-18,129.0,2117.0,1.29,Historical
2014-10-19,119.0,1998.0,1.29,Historical
2014-10-20,45.0,2049.0,1.29,Historical
2014-10-21,78.0,2067.0,1.29,Historical
2014-10-22,90.0,1977.0,1.29,Historical
2014-10-23,78.0,1899.0,1.29,Historical
2014-10-24,62.0,1837.0,1.29,Historical
2014-10-25,97.0,1740.0,1.29,Historical
2014-10-26,111.0,1629.0,1.29,Historical
2014-10-27,55.0,1574.0,1.29,Historical
2014-10-28,60.0,1510.0,1.29,Historical
2014-10-29,61.0,1449.0,1.29,Historical
2014-10-30,81.0,1368.0,1.49,Historical
2014-10-31,131.0,1237.0,1.49,Historical
2014-11-01,160.0,1077.0,1.49,Historical
2014-11-02,131.0,946.0,1.49,Historical
2014-11-03,43.0,903.0,1.49,Historical
2014-11-04,34.0,869.0,1.49,Historical
2014-11-05,33.0,836.0,1.49,Historical
2014-11-06,37.0,799.0,1.49,Historical
2014-11-07,82.0,717.0,1.49,Historical
2014-11-08,542.0,175.0,1.49,Historical
2014-11-09,239.0,0.0,1.49,Historical
2014-11-10,51.0,0.0,1.49,Historical
2014-11-11,51.0,80.0,1.49,Historical
2014-11-12,41.0,34.0,1.49,Historical
2014-11-13,1.0,33.0,1.49,Historical
2014-11-14,0.0,33.0,1.49,Historical
2014-11-15,1.0,32.0,1.49,Historical
2014-11-16,0.0,32.0,1.49,Historical
2014-11-17,0.0,32.0,1.49,Historical
2014-11-18,7.0,25.0,1.49,Historical
2014-11-19,1.0,24.0,1.49,Historical
2014-11-20,4.0,20.0,1.29,Historical
2014-11-21,1.0,19.0,1.29,Historical
2014-11-22,1.0,18.0,1.29,Historical
2014-11-23,2.0,16.0,1.29,Historical
2014-11-24,0.0,16.0,1.29,Historical
2014-11-25,0.0,16.0,1.29,Historical
2014-11-26,0.0,16.0,1.29,Historical
2014-11-27,0.0,16.0,1.29,Historical
2014-11-28,0.0,16.0,1.29,Historical
2014-11-29,0.0,16.0,1.29,Historical
2014-11-30,0.0,16.0,1.29,Historical
2014-12-01,0.0,16.0,1.29,Historical
2014-12-02,0.0,16.0,1.29,Historical
2014-12-03,0.0,16.0,1.29,Historical
2014-12-04,0.0,16.0,1.29,Historical
2014-12-05,0.0,16.0,1.49,Historical
2014-12-06,0.0,16.0,1.49,Historical
2014-12-07,0.0,16.0,1.49,Historical
2014-12-08,0.0,16.0,1.49,Historical
2014-12-09,0.0,16.0,1.49,Historical
2014-12-10,0.0,16.0,1.49,Historical
2014-12-11,0.0,16.0,1.49,Historical
2014-12-12,0.0,16.0,1.49,Historical
2014-12-13,0.0,16.0,1.49,Historical
2014-12-14,0.0,16.0,1.49,Historical
2014-12-15,0.0,688.0,1.49,Historical
2014-12-16,49.0,735.0,1.49,Historical
2014-12-17,157.0,578.0,1.29,Historical
2014-12-18,193.0,385.0,1.29,Historical
2014-12-19,94.0,291.0,1.29,Historical
2014-12-20,135.0,156.0,1.29,Historical
2014-12-21,118.0,38.0,1.29,Historical
2014-12-22,18.0,116.0,1.29,Historical
2014-12-23,0.0,116.0,1.29,Historical
2014-12-24,14.0,102.0,1.29,Historical
2014-12-25,0.0,102.0,1.29,Historical
2014-12-26,20.0,82.0,1.29,Historical
2014-12-27,42.0,328.0,1.29,Historical
2014-12-28,45.0,283.0,1.29,Historical
2014-12-29,55.0,612.0,1.29,Historical
2014-12-30,59.0,553.0,1.29,Historical
2014-12-31,11.0,542.0,1.29,Historical
2015-01-01,0.0,542.0,1.29,Historical
2015-01-02,77.0,561.0,1.29,Historical
2015-01-03,60.0,2229.0,1.29,Historical
2015-01-04,1.0,2228.0,1.29,Historical
2015-01-05,69.0,2351.0,1.29,Historical
2015-01-06,98.0,2253.0,1.29,Historical
2015-01-07,119.0,2134.0,1.29,Historical
2015-01-08,93.0,2137.0,1.29,Historical
2015-01-09,92.0,2045.0,1.29,Historical
2015-01-10,112.0,1933.0,1.29,Historical
2015-01-11,96.0,1837.0,1.29,Historical
2015-01-12,93.0,1744.0,1.29,Historical
2015-01-13,65.0,1679.0,1.29,Historical
2015-01-14,100.0,1581.0,1.29,Historical
2015-01-15,51.0,1530.0,1.49,Historical
2015-01-16,55.0,1475.0,1.49,Historical
2015-01-17,71.0,1403.0,1.49,Historical
2015-01-18,57.0,1346.0,1.49,Historical
2015-01-19,34.0,1312.0,1.49,Historical
2015-01-20,47.0,1265.0,1.49,Historical
2015-01-21,88.0,1177.0,1.29,Historical
2015-01-22,51.0,1126.0,1.29,Historical
2015-01-23,49.0,1076.0,1.29,Historical
2015-01-24,110.0,966.0,1.29,Historical
2015-01-25,30.0,936.0,1.29,Historical
2015-01-26,59.0,877.0,1.29,Historical
2015-01-27,97.0,780.0,1.29,Historical
2015-01-28,155.0,625.0,1.29,Historical
2015-01-29,125.0,500.0,1.29,Historical
2015-01-30,100.0,496.0,1.29,Historical
2015-01-31,211.0,285.0,1.29,Historical
2015-02-01,88.0,197.0,1.29,Historical
2015-02-02,114.0,467.0,1.29,Historical
2015-02-03,89.0,570.0,1.29,Historical
2015-02-04,118.0,548.0,1.29,Historical
2015-02-05,84.0,1136.0,1.29,Historical
2015-02-06,125.0,1299.0,1.29,Historical
2015-02-07,184.0,1211.0,1.04,Historical
2015-02-08,107.0,1104.0,1.29,Historical
2015-02-09,70.0,1033.0,1.29,Historical
2015-02-10,66.0,1063.0,1.29,Historical
2015-02-11,89.0,974.0,1.29,Historical
2015-02-12,50.0,1116.0,2.84,Historical
2015-02-13,20.0,1096.0,2.89,Historical
2015-02-14,77.0,1019.0,2.89,Historical
2015-02-15,33.0,986.0,2.89,Historical
2015-02-16,47.0,1035.0,2.89,Historical
2015-02-17,35.0,1000.0,2.89,Historical
2015-02-18,60.0,1228.0,2.89,Historical
2015-02-19,31.0,1197.0,2.89,Historical
2015-02-20,35.0,1162.0,2.89,Historical
2015-02-21,80.0,1082.0,2.87,Historical
2015-02-22,42.0,1039.0,2.89,Historical
2015-02-23,23.0,1016.0,2.89,Historical
2015-02-24,19.0,997.0,2.89,Historical
2015-02-25,18.0,1075.0,2.89,Historical
2015-02-26,37.0,1134.0,2.89,Historical
2015-02-27,50.0,1084.0,2.89,Historical
2015-02-28,127.0,957.0,2.89,Historical
2015-03-01,123.0,834.0,2.89,Historical
2015-03-02,44.0,789.0,2.89,Historical
2015-03-03,22.0,767.0,2.89,Historical
2015-03-04,31.0,736.0,2.89,Historical
2015-03-05,22.0,714.0,2.89,Historical
2015-03-06,40.0,674.0,2.89,Historical
2015-03-07,62.0,612.0,2.89,Historical
2015-03-08,59.0,553.0,2.89,Historical
2015-03-09,28.0,525.0,2.89,Historical
2015-03-10,68.0,458.0,1.49,Historical
2015-03-11,73.0,385.0,1.49,Historical
2015-03-12,87.0,298.0,1.49,Historical
2015-03-13,175.0,1878.0,1.29,Historical
2015-03-14,300.0,1575.0,1.29,Historical
2015-03-15,196.0,1379.0,1.29,Historical
2015-03-16,123.0,1256.0,1.29,Historical
2015-03-17,168.0,1088.0,1.29,Historical
2015-03-18,209.0,1263.0,1.29,Historical
2015-03-19,188.0,1075.0,1.29,Historical
2015-03-20,219.0,856.0,1.29,Historical
2015-03-21,381.0,475.0,1.29,Historical
2015-03-22,158.0,317.0,1.29,Historical
2015-03-23,12.0,304.0,1.49,Historical
2015-03-24,8.0,296.0,1.29,Historical
2015-03-25,10.0,286.0,1.29,Historical
2015-03-26,88.0,774.0,1.29,Historical
2015-03-27,196.0,770.0,1.29,Historical
2015-03-28,206.0,660.0,1.29,Historical
2015-03-29,83.0,577.0,1.29,Historical
2015-03-30,0.0,673.0,1.49,Historical
2015-03-31,0.0,673.0,1.49,Historical
2015-04-01,27.0,646.0,1.49,Historical
2015-04-02,27.0,1002.0,1.49,Historical
2015-04-03,54.0,1044.0,1.49,Historical
2015-04-04,136.0,908.0,1.49,Historical
2015-04-05,55.0,853.0,1.49,Historical
2015-04-06,22.0,831.0,1.49,Historical
2015-04-07,30.0,801.0,1.49,Historical
2015-04-08,30.0,771.0,1.49,Historical
2015-04-09,30.0,930.0,1.49,Historical
2015-04-10,44.0,1078.0,1.49,Historical
2015-04-11,39.0,1423.0,1.49,Historical
2015-04-12,57.0,1366.0,1.49,Historical
2015-04-13,30.0,1336.0,1.49,Historical
2015-04-14,47.0,1385.0,1.49,Historical
2015-04-15,74.0,1311.0,1.49,Historical
2015-04-16,114.0,1196.0,1.39,Historical
2015-04-17,40.0,1156.0,1.39,Historical
2015-04-18,62.0,1094.0,1.39,Historical
2015-04-19,62.0,1032.0,1.39,Historical
2015-04-20,135.0,897.0,1.39,Historical
2015-04-21,175.0,722.0,1.39,Historical
2015-04-22,82.0,736.0,1.39,Historical
2015-04-23,62.0,674.0,1.4,Historical
2015-04-24,88.0,586.0,1.4,Historical
2015-04-25,152.0,434.0,1.4,Historical
2015-04-26,64.0,370.0,1.4,Historical
2015-04-27,67.0,591.0,1.4,Historical
2015-04-28,73.0,806.0,1.39,Historical
2015-04-29,130.0,676.0,1.39,Historical
2015-04-30,115.0,657.0,1.39,Historical
2015-05-01,260.0,397.0,1.39,Historical
2015-05-02,228.0,169.0,1.39,Historical
2015-05-03,120.0,49.0,1.39,Historical
2015-05-04,31.0,18.0,1.39,Historical
2015-05-05,0.0,18.0,1.39,Historical
2015-05-06,3.0,15.0,1.39,Historical
2015-05-07,0.0,15.0,1.39,Historical
2015-05-08,0.0,15.0,1.39,Historical
2015-05-09,0.0,15.0,0.0,Historical
2015-05-10,0.0,15.0,1.49,Historical
2015-05-11,1.0,14.0,1.49,Historical
2015-05-12,0.0,14.0,1.49,Historical
2015-05-13,1.0,13.0,1.49,Historical
2015-05-14,1.0,12.0,1.49,Historical
2015-05-15,1.0,10.0,1.49,Historical
2015-05-16,0.0,10.0,1.49,Historical
2015-05-17,0.0,10.0,1.49,Historical
2015-05-18,0.0,10.0,1.49,Historical
2015-05-19,1.0,9.0,1.49,Historical
2015-05-20,0.0,9.0,1.49,Historical
2015-05-21,0.0,9.0,1.49,Historical
2015-05-22,0.0,9.0,1.49,Historical
2015-05-23,0.0,9.0,1.49,Historical
2015-05-24,0.0,9.0,1.49,Historical
2015-05-25,0.0,9.0,1.39,Historical
2015-05-26,0.0,9.0,1.39,Historical
2015-05-27,0.0,9.0,1.39,Historical
2015-05-28,0.0,9.0,1.39,Historical
2015-05-29,0.0,9.0,1.39,Historical
2015-05-30,0.0,9.0,1.39,Historical
2015-05-31,0.0,9.0,1.39,Historical
2015-06-01,0.0,105.0,1.39,Historical
2015-06-02,0.0,105.0,1.39,Historical
2015-06-03,0.0,105.0,1.39,Historical
2015-06-04,0.0,105.0,1.39,Historical
2015-06-05,168.0,1377.0,1.39,Historical
2015-06-06,201.0,1176.0,1.2,Historical
2015-06-07,147.0,1029.0,1.19,Historical
2015-06-08,119.0,910.0,1.19,Historical
2015-06-09,122.0,788.0,1.19,Historical
2015-06-10,149.0,639.0,1.19,Historical
2015-06-11,111.0,720.0,1.19,Historical
2015-06-12,95.0,721.0,1.19,Historical
2015-06-13,237.0,675.0,1.19,Historical
2015-06-14,110.0,565.0,1.19,Historical
2015-06-15,104.0,653.0,1.19,Historical
2015-06-16,61.0,592.0,1.19,Historical
2015-06-17,40.0,1127.0,1.29,Historical
2015-06-18,114.0,1301.0,1.29,Historical
2015-06-19,129.0,1172.0,1.29,Historical
2015-06-20,111.0,1061.0,1.29,Historical
2015-06-21,146.0,915.0,1.29,Historical
2015-06-22,57.0,858.0,1.49,Historical
2015-06-23,19.0,839.0,1.49,Historical
2015-06-24,27.0,1291.0,1.49,Historical
2015-06-25,62.0,1229.0,1.49,Historical
2015-06-26,95.0,1902.0,1.49,Historical
2015-06-27,183.0,1719.0,1.39,Historical
2015-06-28,94.0,1624.0,1.39,Historical
2015-06-29,116.0,1606.0,1.39,Historical
2015-06-30,63.0,1543.0,1.39,Historical
2015-07-01,147.0,1396.0,1.39,Historical
2015-07-02,101.0,1295.0,1.39,Historical
2015-07-03,248.0,1047.0,1.29,Historical
2015-07-04,142.0,905.0,1.29,Historical
2015-07-05,186.0,719.0,1.29,Historical
2015-07-06,109.0,898.0,1.29,Historical
2015-07-07,228.0,957.0,1.29,Historical
2015-07-08,66.0,1083.0,1.29,Historical
2015-07-09,182.0,901.0,1.29,Historical
2015-07-10,1.0,996.0,1.29,Historical
2015-07-11,64.0,1124.0,1.29,Historical
2015-07-12,118.0,1006.0,1.29,Historical
2015-07-13,55.0,950.0,1.29,Historical
2015-07-14,43.0,907.0,1.27,Historical
2015-07-15,95.0,812.0,1.28,Historical
2015-07-16,54.0,758.0,1.28,Historical
2015-07-17,85.0,673.0,1.28,Historical
2015-07-18,92.0,869.0,1.27,Historical
2015-07-19,61.0,808.0,1.28,Historical
2015-07-20,111.0,697.0,1.27,Historical
2015-07-21,7.0,1170.0,1.28,Historical
2015-07-22,4.0,1262.0,1.28,Historical
2015-07-23,66.0,1292.0,1.27,Historical
2015-07-24,95.0,1197.0,1.28,Historical
2015-07-25,190.0,1103.0,1.27,Historical
2015-07-26,60.0,1043.0,1.28,Historical
2015-07-27,42.0,1097.0,1.27,Historical
2015-07-28,79.0,1306.0,1.27,Historical
2015-07-29,109.0,1581.0,1.27,Historical
2015-07-30,165.0,1416.0,1.28,Historical
2015-07-31,99.0,1317.0,1.27,Historical
2015-08-01,233.0,1084.0,1.48,Historical
2015-08-02,16.0,1067.0,1.48,Historical
2015-08-03,2.0,1065.0,1.46,Historical
2015-08-04,5.0,1060.0,1.47,Historical
2015-08-05,22.0,1038.0,1.48,Historical
2015-08-06,8.0,1030.0,1.49,Historical
2015-08-07,65.0,321.0,1.48,Historical
2015-08-08,157.0,451.0,1.48,Historical
2015-08-09,65.0,386.0,1.48,Historical
2015-08-10,90.0,296.0,1.48,Historical
2015-08-11,3.0,1157.0,1.18,Historical
2015-08-12,5.0,1152.0,1.18,Historical
2015-08-13,1.0,2015.0,1.19,Historical
2015-08-14,65.0,2046.0,1.18,Historical
